rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Unclosed HTML tag found;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Comment matches to-do format 'TODO:'.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'final' modifier.;3119;8;3111;0.2;0.9977877524847708;0.0001726567748359854;0.625;0.0;0.5638888888888889;0.03469443332443554;0.5923202614379084;0.0189852124814089
Expression can be simplified.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Extra HTML tag found;3118;1;3117;0.2;0.9996792815907634;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unused @param tag;3118;1;3117;0.2;0.9996792815907634;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unable to get class information for @throws tag;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;5197;998;4199;0.3;0.9534731575909177;0.0011666350887992371;0.8895791583166333;0.003436157955808043;0.8709193062743499;0.004016286610274396;0.8801442125508773;0.0029300389339198744
Line is longer than 80 characters;5196;551;4645;0.3;0.9891070053887606;0.00033555804030334125;0.9539019963702359;0.004074400058193061;0.9439888502542011;0.003555165434778344;0.9489068299395553;0.0015899929748438516
Line has trailing spaces.;5196;0;5196;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'{' should be on the previous line.;5196;0;5196;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
File contains tab characters (this is the first instance).;5196;34;5162;0.3;0.9943225558121632;0.00023174739374117682;0.5558823529411765;0.0244312466556414;0.5681885026737968;0.019622456206069217;0.5615607647400889;0.016395925978995703
Variable must be private and have accessor methods;5197;18;5179;0.3;0.9973061381566287;0.0003750931054380968;0.611111111111111;1.1102230246251565e-16;0.6188527077497665;0.07218389620821523;0.6129571997489954;0.034171770230020326
Missing a Javadoc comment.;5197;126;5071;0.3;0.9961131421974215;0.0002552722563290662;0.9142857142857143;0.005939138709164965;0.9246492846352086;0.008922454014125485;0.919404637858821;0.005097739590660815
Parameter should be final;5197;205;4992;0.3;0.997575524340966;0.00019622934437532326;0.9839024390243901;0.003123475237772124;0.9559748031289155;0.006018808834475897;0.9697190476884513;0.002356908870820188
Class designed for extension without Javadoc;5197;70;5127;0.3;0.9952857417741005;0.0003011829101885414;0.8185714285714285;0.011157499537009518;0.8294606001726536;0.015289251027560668;0.8238992724468339;0.010599824506819788
'}' should be on the same line as the next part of a multi-block statement;5197;4;5193;0.3;0.9987685203001732;0.0001276361281645331;0.0;0.0;0.0;0.0;0.0;0.0
Hidden field;5197;22;5175;0.3;0.9964017702520686;0.00017317683278814667;0.39545454545454545;0.04568125282327677;0.6177049666020255;0.03025785134349163;0.48077066724125556;0.03618690139265235
Symbol is not followed by whitespace.;5197;18;5179;0.3;0.9949971137194534;0.00036508881972311405;0.31666666666666665;0.035572912430182485;0.2955793617287425;0.03618295191815895;0.3049375160211073;0.03241114241238157
Name must match pattern '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$';5197;7;5190;0.3;0.9982874735424284;0.00021854563578219211;0.41428571428571426;0.04285714285714285;0.38273809523809527;0.06537058583234123;0.39639194139194134;0.0501333808444467
Expected @param tag;5197;72;5125;0.3;0.9947084856648065;0.0004408866360357736;0.8180555555555555;0.007479395565464585;0.8041635458611859;0.023107403122913678;0.8108937376255344;0.01333326857285041
Avoid inline conditionals.;5197;24;5173;0.3;0.9999230325187607;9.426552791160952e-05;1.0;0.0;0.984;0.019595917942265444;0.9918367346938777;0.00999791731748237
Symbol is followed by whitespace.;5197;7;5190;0.3;0.997383105637868;9.426552791160951e-05;0.18571428571428567;0.0654653670707977;0.13830808080808082;0.033289887894938086;0.1579738562091503;0.04517155606741225
Symbol is preceded with whitespace.;5197;1;5196;0.3;0.9997498556859726;8.817732720715472e-05;0.0;0.0;0.0;0.0;0.0;0.0
"switch without ""default"" clause.";5196;0;5196;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is not preceded with whitespace.;5196;7;5189;0.3;0.9983641262509624;0.000387309695871764;0.3999999999999999;0.05714285714285714;0.4258333333333334;0.12283966514661838;0.4034262306321129;0.07184060934103101
Unused import;5196;2;5194;0.3;0.9994226327944574;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Expected an @return tag.;5197;1;5196;0.3;0.9996728882047335;8.817732720715472e-05;0.0;0.0;0.0;0.0;0.0;0.0
Avoid nested blocks.;5197;1;5196;0.3;0.9998075812969022;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Magic number;5197;5;5192;0.3;0.9978064267846836;0.0002309024437175289;0.4;0.0;0.19494949494949496;0.022945084225455645;0.26134453781512607;0.020609661291480185
Symbol should be on a new line.;5196;0;5196;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
File does not end with a newline.;5196;0;5196;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'public' modifier.;5196;6;5190;0.3;0.998729792147806;9.428366985308029e-05;0.6;0.08164965809277258;0.46031746031746035;0.032914986275123376;0.51985347985348;0.04960437342404064
Expected @throws tag;5196;0;5196;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;5197;3;5194;0.3;0.9988839715220321;7.696748123917629e-05;0.0;0.0;0.0;0.0;0.0;0.0
